421364	"Ivanov, André"|"Huang, WeiPing"|"Majumdar, Shikharesh"|"Bahreyni, Behraad"|"Chen, Chunhong"
421372	"Sebak, Abdel"|"Nerguizian, Chahé"|"Denidni, Tayeb"|"Roy, Langis"|"Bornemann, Jens"
421381	"Marti, Jose"|"Shen, Weiming"|"Malik, Om"|"ElHawary, Mohamed"|"Sodan, Angela"
421422	"Lakshmanan, Laks"|"Alhajj, Reda"|"Parsons, Jeffrey"|"Kim, Henry"|"Radhakrishnan, Thiruvengadam"
421451	"Qiao, Sanzheng"|"Gross, Warren"|"Yongacoglu, Abbas"|"Alajaji, Fady"|"Li, Hua"
421572	"Maldague, Xavier"|"Mandal, Mrinal"|"Truong, Khai"|"Kabir, MohammadZahangir"|"Wang, Zhou"
421607	"Shpak, Dale"|"Ahmad, Omair"|"Mirhassani, Mitra"|"AbdelRaheem, Esam"|"Champagne, Benoit"
421781	"Gauthier, Robert"|"Huang, WeiPing"|"Aimez, Vincent"|"Levi, Ofer"|"Skorobogatiy, Maksim"
421969	"Nishimura, Naomi"|"Buss, Jonathan"|"Stege, Ulrike"|"Keil, Mark"|"Magen, Avner"
421990	"MacKenzie, Scott"|"Irani, Pourang"|"Lank, Edward"|"Tadj, Chakib"|"Feeley, Michael"
421996	"Szymanski, Ted"|"Koutsakis, Polychronis"|"Kadoch, Michel"|"Gu, Qianping"|"Liu, Yanni"
422039	"Bergeron, Anne"|"Makarenkov, Vladimir"|"Sankoff, David"|"Lawrence, Ramon"|"Gras, Robin"
422043	"Fiume, Eugene"|"Lee, WonSook"|"Brooks, Stephen"|"Lang, Jochen"|"Bouguila, Nizar"
422212	"Ng, Raymond"|"Butler, Gregory"|"Mousavi, Parvin"|"Ester, Martin"|"Chiu, David"
422243	"Mann, Stephen"|"Shaw, Christopher"|"Samavati, Faramarz"|"McGrenere, Joanna"|"Franks, Greg"
422247	"Kadoch, Michel"|"Zhao, Dongmei"|"Shen, XueminSherman"|"Zhuang, Weihua"|"Liu, Yanni"
422302	"Cheriyan, Joseph"|"Salavatipour, MohammadReza"|"Swamy, Chaitany"|"Stacho, Ladislav"|"Gu, Qianping"
422322	"Butler, Gregory"|"Ma, Bin"|"Ng, Raymond"|"Lin, Guohui"|"Li, Ming"
422368	"Bergler, Sabine"|"Szpakowicz, Stan"|"Stevenson, Suzanne"|"Kosseim, Leila"|"Inkpen, Diana"
422374	"Crépeau, Claude"|"Tapp, Alain"|"Salvail, Louis"|"Watrous, John"|"Childs, Andrew"
422520	"Roy, Langis"|"Moez, Kambiz"|"Sebak, Abdel"|"Denidni, Tayeb"|"Mirabbasi, Shahriar"
422523	"Parsons, Jeffrey"|"Far, Behrouz"|"Lawrence, Ramon"|"Stevenson, Suzanne"|"BurtonJones, Andrew"
422580	"Villemaire, Roger"|"Berenbrink, Petra"|"Swamy, Chaitanya"|"Beyer, Dirk"|"MacGillivray, Gary"
422684	"Woit, Denise"|"Lounis, Hakim"|"April, Alain"|"Winter, HorstMichael"|"Hassan, Ahmed"
422770	"Nasiopoulos, Panos"|"Takaya, Kunio"|"Chan, Adrian"|"Cheng, LinOi(Irene)"|"Sander, Jörg"
422864	"Liao, Simon"|"Toussaint, Godfried"|"Wong, Andrew"|"Ziarko, Wojciech"|"Veksler, Olga"
422917	"Alajaji, Fady"|"Bajcsy, Jan"|"Gulliver, Aaron"|"Lee, Daniel"|"Champagne, Benoit"
422962	"Denidni, Tayeb"|"Sebak, Abdel"|"Roy, Langis"|"Bornemann, Jens"|"Moez, Kambiz"
423022	"Molloy, Michael"|"Farzad, Babak"|"Salavatipour, MohammadReza"|"Panario, Daniel"|"Keil, Mark"
423097	"Frappier, Marc"|"Miller, James"|"Dssouli, Rachida"|"Franks, Greg"|"Abidi, Syed"
423110	"Eagleson, Roy"|"Abolmaesumi, Purang"|"Munzner, Tamara"|"Radhakrishnan, Thiruvengadam"|"Jagersand, Martin"
423895	"Stroulia, Eleni"|"Peyton, Liam"|"Yan, Yuhong"|"Zou, Ying"|"Kontogiannis, Kostas"
424215	"Liu, YanFei"|"Knight, Andrew"|"Hinzer, Karin"|"Moschopoulos, Gerasimos(Gerry)"|"Xu, Changqing"
424226	"Moschopoulos, Gerasimos(Gerry)"|"Liu, YanFei"|"Knight, Andrew"|"Hinzer, Karin"|"Wang, ChunyanCW"
424421	"Boutaba, Raouf"|"Nasser, Nidal"|"Zhao, Dongmei"|"Nguyen, UyenTrang"|"Barbeau, Michel"
424803	"Alencar, Paulo"|"Tahvildari, Ladan"|"Leduc, Ryan"|"Far, Behrouz"|"McIlraith, Sheila"
424828	"Ulieru, Mihaela"|"Stroulia, Eleni"|"Radhakrishnan, Thiruvengadam"|"Antle, Alissa"|"Khan, Gul"
424863	"Pizzi, Nicolino"|"GhodsiBoushehri, Ali"|"Hamarneh, Ghassan"|"Pawlak, Miroslaw"|"Rueda, Luis"
424867	"Sahraoui, Houari"|"Lounis, Hakim"|"Brooks, Stephen"|"Hassan, Ahmed"|"April, Alain"
424891	"Tadj, Chakib"|"VonBochmann, Gregor"|"Gagné, Christian"|"MacLean, Karon"|"Benlamri, Rachid"
425041	"Berry, Daniel"|"Wand, Yair"|"Zou, Ying"|"Far, Behrouz"|"Kruchten, Philippe"
425046	"Bigras, Pascal"|"Wong, Tony"|"Massicotte, Daniel"|"Pierre, Samuel"|"Boucheneb, Hanifa"
425047	"Gagnon, Langis"|"Whitehead, Anthony"|"Zhang, Chang"|"ElSaddik, Abdulmotaleb"|"Amer, Aishy"
425139	"Chau, Thomas"|"Jedwab, Jonathan"|"Chan, Adrian"|"Rouat, Jean"|"Antle, Alissa"
425142	"Silver, Daniel"|"Sarkar, Anoop"|"Matwin, Stanislaw"|"Zemel, Richard"|"Marchand, Mario"
425204	"Moallem, Mehrdad"|"Ma, Yuan"|"Khazaka, Roni"|"Wang, ChunyanCW"|"Nakhla, Michel"
425221	"Yuan, Fei"|"Roy, Langis"|"Nerguizian, Chahé"|"ElGamal, Mourad"|"Dong, Xiaodai"
425225	"Easterbrook, Stephen(Steve)"|"Schneider, Kevin"|"Hassan, Ahmed"|"April, Alain"|"Maurer, Frank"
425232	"Knight, Andrew"|"Liu, YanFei"|"Hinzer, Karin"|"Moschopoulos, Gerasimos(Gerry)"|"Knights, Andrew"
425242	"Mandal, Mrinal"|"Agathoklis, Panajotis"|"Mitiche, Amar"|"Abugharbieh, Rafeef"|"Wang, Zhou"
425245	"Davies, Robert"|"Elbiaze, Halima"|"Vukovic, Aleksandar"|"Nasser, Nidal"|"Hossain, Ekram"
425248	"Groza, Voicu"|"Mirhassani, Mitra"|"Hussain, Sajid"|"Li, Hua"|"Krishnamurthy, Vikram"
425249	"DAmours, Claude"|"Shayan, Yousef"|"LeNgoc, Tho"|"Anpalagan, Alagan"|"Bajcsy, Jan"
425254	"Davidson, Timothy"|"Bajcsy, Jan"|"Hamouda, Walaa"|"Ajib, Wessam"|"Zhao, Dongmei"
425268	"Kim, Henry"|"Parsons, Jeffrey"|"Barbosa, Denilson"|"Abidi, Syed"|"Benlamri, Rachid"
425279	"Felty, Amy"|"Dubé, Danny"|"Pientka, Brigitte"|"Winter, HorstMichael"|"Lhotàk, Ondréj"
425285	"Paquet, Joey"|"Dubé, Danny"|"Gardner, William"|"Kent, Kenneth"|"Singh, Ajit"
425350	"Zemel, Richard"|"Sarkar, Anoop"|"Gondra, Iker"|"Lowe, David"|"Pal, Christopher"
425351	"Godfrey, Parke"|"Lyons, Kelly"|"Qureshi, Faisal"|"Georganas, Nicolas"|"ElSaddik, Abdulmotaleb"
425356	"Anderson, John"|"Rekleitis, Ioannis"|"Jagersand, Martin"|"Kabanza, Froduald"|"Wu, Dan"
425359	"MacGregor, Michael"|"Feeley, Michael"|"Villemaire, Roger"|"Wang, Chun"|"An, Aijun"
425360	"Houghten, Sheridan"|"Konstantinidis, Stavros"|"Nishimura, Naomi"|"Kari, Lila"|"Cameron, Helen"
425369	"Hassanein, Hossam"|"Nasser, Nidal"|"Sampalli, Srinivas"|"Hossain, Ekram"|"Gulliver, Aaron"
425370	"Watrous, John"|"Childs, Andrew"|"Tapp, Alain"|"Nayak, Ashwin"|"Crépeau, Claude"
425374	"Hossain, Shahadat"|"Giesbrecht, Mark"|"Vavasis, Stephen"|"DeSterck, Hans"|"Keil, Mark"
425402	"An, Aijun"|"Raahemi, Bijan"|"Özsu, Tamer"|"Zaïane, Osmar"|"Godin, Robert"
425403	"Sivoththaman, Siva"|"Mi, Zetian"|"Hinzer, Karin"|"Abid, ZineEddine"|"Pearce, Joshua"
425940	"Hossain, Ekram"|"Nasser, Nidal"|"Mao, Zhiwei"|"Zhao, Dongmei"|"Ilow, Jacek"
425969	"Shakshuki, Elhadi"|"Osgood, Nathaniel"|"Jutla, Dawn"|"Benlamri, Rachid"|"Fung, Benjamin"
425978	"Dansereau, Richard"|"Basir, Otman"|"Aboulnasr, Tyseer"|"Rouat, Jean"|"Benesty, Jacob"
426041	"Far, Behrouz"|"Pfahl, Dietmar"|"Parsons, Jeffrey"|"Hassan, Ahmed"|"Rafiei, Davood"
426252	"Duntsch, Ivo"|"Jurisica, Igor"|"Murua, Alejandro"|"Abugharbieh, Rafeef"|"Kahl, Wolfram"
426500	"Zhang, Xiupu(John)"|"Gulliver, Aaron"|"Ilow, Jacek"|"Dong, Xiaodai"|"Moez, Kambiz"
426565	"Rueda, Luis"|"Marchand, Mario"|"Ngom, Alioune"|"Pizzi, Nicolino"|"Toussaint, Godfried"
426610	"Jatskevich, Juri"|"Bandler, John"|"Sood, Vijay"|"Chen, Chunhong"|"Sirouspour, Shahin"
426679	"Fraczak, Wojciech"|"Gardner, William"|"Leduc, Ryan"|"Glaesser, Uwe"|"Zach, Richard"
426696	"Yu, Ming"|"Rochette, Martin"|"Ma, Yuan"|"Abid, ZineEddine"|"Mirhassani, Mitra"
426930	"Liscano, Ramiro"|"Mouftah, Hussein"|"Wu, Kui"|"Chen, Yuanzhu"|"Bajcsy, Jan"
426948	"Boley, Harold"|"Haarslev, Volker"|"Cercone, Nick"|"Barbosa, Denilson"|"Gasevic, Dragan"
426973	"Soutchanski, Mikhail"|"GhodsiBoushehri, Ali"|"Pientka, Brigitte"|"Lhotàk, Ondréj"|"Lounis, Hakim"
426976	"Gaur, Daya"|"Swamy, Chaitany"|"Salavatipour, MohammadReza"|"Cheriyan, Joseph"|"Magen, Avner"
426982	"Franks, Greg"|"Osgood, Nathaniel"|"Goswami, Dhrubajyoti"|"Petriu, Dorina"|"LeonGarcia, Alberto"
427025	"Behjat, Laleh"|"Kennings, Andrew"|"Areibi, Shawki"|"Sedaghat, Reza"|"Li, Zongpeng"
427026	"Godbout, Nicolas"|"Mi, Zetian"|"Van, Vien"|"Lutkenhaus, Norbert"|"Nayak, Ashwin"
427037	"Anis, Mohab"|"Areibi, Shawki"|"Abid, ZineEddine"|"Chen, ChihHung"|"Khazaka, Roni"
427045	"Zulkernine, Mohammad"|"Somayaji, Anil"|"Winter, HorstMichael"|"Kontogiannis, Kostas"|"Schneider, Kevin"
427077	"Michelson, David"|"ELDarieby, Mohamed"|"Muhaidat, Sami"|"Gulliver, Aaron"|"Bajcsy, Jan"
427104	"Jedwab, Jonathan"|"Wang, Zhou"|"Szczecinski, Leszek"|"Antoniou, Andreas"|"Samadi, Saed"
427122	"Benesty, Jacob"|"Aboulnasr, Tyseer"|"Champagne, Benoit"|"Basir, Otman"|"Dansereau, Richard"
427198	"YadidPecht, Orly"|"Wahid, Khan"|"Mandal, Mrinal"|"Lachapelle, Gerard"|"Chapman, Glenn"
427235	"Adams, Carlisle"|"VanOorschot, Paul"|"Beznosov, Konstantin"|"Atwood, John"|"Li, Hua"
427238	"Gross, Warren"|"Gaudet, Vincent"|"Bajcsy, Jan"|"Mirhassani, Mitra"|"Geurkov, Vadim"
427243	"Nerguizian, Chahé"|"Mouftah, Hussein"|"Sebak, Abdel"|"Shen, XueminSherman"|"Leung, Cyril"
427245	"Gokaraju, Ramakrishna"|"Malik, Om"|"Sood, Vijay"|"Duchesne, Simon"|"Pillay, Pragasen"
427295	"Hranilovic, Steve"|"Bajcsy, Jan"|"Zhang, JianKang"|"Gulliver, Aaron"|"Champagne, Benoit"
427298	"Knights, Andrew"|"Huang, WeiPing"|"Aimez, Vincent"|"Van, Vien"|"Abid, ZineEddine"
427301	"Sirouspour, Shahin"|"Abolmaesumi, Purang"|"Patriciu, Alexandru"|"Jatskevich, Juri"|"Spiteri, Raymond"
427313	"Liu, Jiangchuan"|"Sarshar, Nima"|"Nasser, Nidal"|"Lee, Ivan"|"ElMarakby, Randa"
427326	"Dubé, Danny"|"Felty, Amy"|"Lhotàk, Ondréj"|"Veldhuizen, Todd"|"Du, Weichang"
427361	"Beznosov, Konstantin"|"LeonGarcia, Alberto"|"Adams, Carlisle"|"Atwood, John"|"Warfield, Andrew"
427363	"Charlebois, Serge"|"Beauvais, Jacques"|"Majedi, AmirHamed"|"Anantram, Manjeri"|"Van, Vien"
427364	"Abhari, Ramesh"|"Chau, Kenneth"|"LiboironLadouceur, Odile"|"Nakhla, Michel"|"Audet, Yves"
427368	"Beaulieu, Christian"|"Abugharbieh, Rafeef"|"Anand, Christopher"|"Modersitzki, Jan"|"DeZanche, Nicola"
427369	"Prodic, Aleksandar"|"Mirhassani, Mitra"|"Nakhla, Michel"|"Raut, Rabin"|"Kwasniewski, Tadeusz"
427373	"Yang, HongChuan"|"Shayan, Yousef"|"Zhao, Dongmei"|"Nguyen, Ha"|"Lee, Daniel"
427374	"Zhao, Lian"|"Nguyen, Ha"|"Shen, XueminSherman"|"Yang, HongChuan"|"Jing, Yindi"
427386	"Lemieux, Guy"|"Geurkov, Vadim"|"Ye, Andy"|"Sirouspour, Shahin"|"Manjikian, Naraig"
427388	"Dziong, Zbigniew"|"Nasser, Nidal"|"Liu, Jiangchuan"|"Zhao, Dongmei"|"Hossain, Ekram"
427394	"Ahmed, MohamedHossam"|"Nguyen, Ha"|"Jing, Yindi"|"Falconer, David"|"Zhao, Lian"
427397	"Assi, Chadi"|"Jaseemuddin, Muhammad"|"Wong, Vincent"|"Cai, Jun"|"Todd, Terence"
427413	"Abugharbieh, Rafeef"|"Abolmaesumi, Purang"|"Mandal, Mrinal"|"Hamarneh, Ghassan"|"Duchesne, Simon"
427430	"Ziou, Djemel"|"Ktari, Béchir"|"Gagnon, Michel"|"Mullins, John"|"Kherfi, MohammedLamine"
427471	"ELDarieby, Mohamed"|"Nguyen, UyenTrang"|"Zhao, Dongmei"|"Hafez, Roshdy"|"Michelson, David"
427499	"Shatkay, Hagit"|"Green, James"|"Gras, Robin"|"Mousavi, Parvin"|"Pal, Christopher"
427505	"Coady, Yvonne"|"Nasser, Nidal"|"Majumdar, Shikharesh"|"LeonGarcia, Alberto"|"Li, Hua"
427529	"Ergun, AyseFunda"|"Raahemi, Bijan"|"ShiriVarnaamkhaasti, Nematollaah"|"Swamy, Chaitanya"|"Pei, Jian"
427628	"Somayaji, Anil"|"Beyer, Dirk"|"Yee, George"|"McIlraith, Sheila"|"Feeley, Michael"
427635	"Lee, WonSook"|"Schötzau, Dominik"|"Mitchell, Ian"|"Bridson, Robert"|"DeSterck, Hans"
427651	"Skorobogatiy, Maksim"|"Bock, Wojtek"|"Huang, WeiPing"|"Ban, Dayan"|"Gauthier, Robert"
427660	"Brooks, Stephen"|"Samavati, Faramarz"|"Noble, Scott"|"Pal, Christopher"|"Mudur, Sudhir"
427663	"Dounavis, Anestis"|"Nakhla, Michel"|"Khazaka, Roni"|"Areibi, Shawki"|"Moallem, Mehrdad"
427678	"Magierowski, Sebastian"|"Sebak, Abdel"|"Stanley, Kevin"|"Nerguizian, Chahé"|"Roy, Langis"
427985	"Das, Olivia"|"Glaesser, Uwe"|"Dssouli, Rachida"|"Yee, George"|"Zulkernine, Mohammad"
428424	"Lamontagne, Luc"|"Schaeffer, Jonathan"|"Gutwin, Carl"|"Miller, James"|"Swamy, Chaitanya"
428727	"Lhotàk, Ondréj"|"Dubé, Danny"|"Kent, Kenneth"|"Beyer, Dirk"|"Maurer, Frank"
428740	"Nasser, Nidal"|"Zhao, Dongmei"|"Gulliver, Aaron"|"Anpalagan, Alagan"|"Sampalli, Srinivas"
428756	"Osgood, Nathaniel"|"Franks, Greg"|"Bodorik, Peter"|"Bandler, John"|"Kabir, MohammadZahangir"
428768	"April, Alain"|"Kontogiannis, Kostas"|"Hassan, Ahmed"|"Lounis, Hakim"|"Jin, Dean"
