"ChaibDraa, Brahim"	391199
"Chali, Yllias"	338397
"Chalin, Patrice"	395102
"Champagne, Benoit"	362023
"Chan, Adrian"	395469
"Chan, Christine"	338382
"Chan, Edward"	337806
"Chan, WaiYip(Geoffrey)"	338888
"Chang, Liuchen"	435116
"Chang, XiaoWen"	363618
"Chapman, Glenn"	338885
"Charbonneau, Alain"	365050
"Charette, Paul"	456136
"Charlebois, Serge"	427363
"Chau, Kenneth"	434597
"Chau, SiuCheung"	337808
"Chau, Thomas"	425139
"Chechik, Marsha"	452683
"Chen, ChihHung"	365627
"Chen, Chunhong"	338925
"Chen, Jiahua"	406149
"Chen, Jun"	402614
"Chen, Li"	364032
"Chen, Liang"	338430
"Chen, Stephen"	362303
"Chen, XiaoJun"	337831
"Chen, Yuanzhu"	428959
"Chen, Yuanzhu"	337902
"Cheng, Howard"	366495
"Cheng, Julian"	338966
"Cheng, LinOi(Irene)"	431935
"Cheriyan, Joseph"	422302
"Cherkaoui, Omar"	361402
"Childs, Andrew"	402850
"Chiu, David"	420524
"Chodavarapu, Vamsy"	364957
"Chouinard, JeanYves"	450956
"Chowdhury, Sazzadur"	456663
"Christara, Christina"	451160
"Chvátal, Vasek"	419697
"Chériti, Ahmed"	451723
"Cleve, Richard"	365155
"Coady, Yvonne"	456811
"Coady, Yvonne"	427505
"Coady, Yvonne"	364421
"Collins, Christopher"	463854
"Consens, Mariano"	366655
"Constantin, Nicolas"	463575
"Cooperstock, Jeremy"	338903
"Cordy, James"	364362
"Corinthios, Michael"	450294
"Corless, Robert"	450604
"Corneil, Derek"	338352
"Coulombe, Stéphane"	338956
"Cowan, Glenn"	402615
"Cowan, William"	389647
"Cox, Philip"	388195
"Cretu, Edmond"	338976
"Cros, Jérôme"	452557
"Crépeau, Claude"	422374
"Cui, Bo"	435297
"Culberson, Joseph"	338354
"Czarnecki, Krzysztof"	361854
"Czyzowicz, Jurek"	338364
"DAmours, Claude"	425249
"Dagenais, Michel"	365697
"Dahl, Veronica"	338340
"Daku, Brian"	390889
"Daley, Mark"	366255
"Damen, MohamedOussama"	456538
"Damian, Daniela"	455714
"Daneshmand, Mojgan"	434594
"Dansereau, Richard"	425978
"Dargham, Joumana"	337845
"Darmon, Henri"	406150
"Das, Olivia"	427985
"Datta, Suprakash"	455237
"Daudjee, Khuzaima"	434964
"David, JeanPierre"	362879
"Davidson, Timothy"	425254
"Davies, Jim"	429664
"Davies, Robert"	425245
"Day, Nancy"	455249
"DeFreitas, Joao(Nando)"	362443
"DeLara, Eyal"	363874
"DeSterck, Hans"	396576
"DeVolder, Kris"	361221
"DeZanche, Nicola"	435072
"Dean, Thomas"	363350
"Debbabi, Mourad"	337821
"Deen, Jamal"	449601
"Dehne, Frank"	450432
"Dehne, Frank"	338360
"Delgrande, James"	362491
"DemkeBrown, Angela"	365349
"Denidni, Tayeb"	422962
"Denko, Mieso"	395851
"Denzinger, Jörg"	455051
"Desai, Bipin"	363801
"Deschênes, François"	395353
"Descoteaux, Maxime"	463934
"Desharnais, Josée"	338413
"Deslandes, Dominic"	434613
"Desmarais, Michel"	363872
"Després, Philippe"	402566
"Desrosiers, Christian"	464030
"Deters, Ralph"	455156
"Deutsch, Clayton"	364646
